State,Profession,Total
Delaware,Management,300
Delaware,Service,80
Delaware,Sales,80
Delaware,Farming,25
Delaware,Construction,6
Delaware,Production,70
Delaware,Military,0
Delaware,No,1091
Delaware,Homemakers,265
Delaware,Students,603
Delaware,Retirees,18
Delaware,Unemployed,205
Delaware,Unknown,703
District of Columbia,Management,394
District of Columbia,Service,205
District of Columbia,Sales,99
District of Columbia,Farming,16
District of Columbia,Construction,9
District of Columbia,Production,59
District of Columbia,Military,0
District of Columbia,No,1055
District of Columbia,Homemakers,187
District of Columbia,Students,659
District of Columbia,Retirees,21
District of Columbia,Unemployed,188
District of Columbia,Unknown,887
Florida,Management,7148
Florida,Service,4683
Florida,Sales,3190
Florida,Farming,0
Florida,Construction,654
Florida,Production,3450
Florida,Military,0
Florida,No,51519
Florida,Homemakers,10120
Florida,Students,26367
Florida,Retirees,1157
Florida,Unemployed,13875
Florida,Unknown,37823
Georgia,Management,2704
Georgia,Service,1187
Georgia,Sales,802
Georgia,Farming,290
Georgia,Construction,0
Georgia,Production,835
Georgia,Military,0
Georgia,No,12653
Georgia,Homemakers,3233
Georgia,Students,7088
Georgia,Retirees,269
Georgia,Unemployed,2063
Georgia,Unknown,8326
Hawaii,Management,432
Hawaii,Service,323
Hawaii,Sales,265
Hawaii,Farming,430
Hawaii,Construction,33
Hawaii,Production,147
Hawaii,Military,0
Hawaii,No,4097
Hawaii,Homemakers,925
Hawaii,Students,2212
Hawaii,Retirees,35
Hawaii,Unemployed,925
Hawaii,Unknown,1569
Idaho,Management,159
Idaho,Service,92
Idaho,Sales,0
Idaho,Farming,0
Idaho,Construction,0
Idaho,Production,154
Idaho,Military,0
Idaho,No,1386
Idaho,Homemakers,397
Idaho,Students,791
Idaho,Retirees,23
Idaho,Unemployed,175
Idaho,Unknown,696
Illinois,Management,4418
Illinois,Service,1680
Illinois,Sales,1084
Illinois,Farming,554
Illinois,Construction,220
Illinois,Production,2058
Illinois,Military,3
Illinois,No,17748
Illinois,Homemakers,5469
Illinois,Students,9011
Illinois,Retirees,403
Illinois,Unemployed,2865
Illinois,Unknown,10560
Indiana,Management,949
Indiana,Service,314
Indiana,Sales,182
Indiana,Farming,78
Indiana,Construction,19
Indiana,Production,425
Indiana,Military,0
Indiana,No,4060
Indiana,Homemakers,968
Indiana,Students,2400
Indiana,Retirees,59
Indiana,Unemployed,633
Indiana,Unknown,2235
Iowa,Management,406
Iowa,Service,203
Iowa,Sales,92
Iowa,Farming,51
Iowa,Construction,16
Iowa,Production,292
