State,Profession,Total
Delaware,Management,310
Delaware,Service,121
Delaware,Sales,100
Delaware,Farming,28
Delaware,Construction,7
Delaware,Production,38
Delaware,Military,0
Delaware,No,1008
Delaware,Homemakers,261
Delaware,Students,549
Delaware,Retirees,19
Delaware,Unemployed,179
Delaware,Unknown,586
District of Columbia,Management,438
District of Columbia,Service,208
District of Columbia,Sales,153
District of Columbia,Farming,0
District of Columbia,Construction,0
District of Columbia,Production,49
District of Columbia,Military,0
District of Columbia,No,1170
District of Columbia,Homemakers,197
District of Columbia,Students,721
District of Columbia,Retirees,33
District of Columbia,Unemployed,219
District of Columbia,Unknown,845
Florida,Management,7224
Florida,Service,5005
Florida,Sales,3356
Florida,Farming,798
Florida,Construction,0
Florida,Production,3734
Florida,Military,0
Florida,No,52040
Florida,Homemakers,11138
Florida,Students,26788
Florida,Retirees,949
Florida,Unemployed,13165
Florida,Unknown,34487
Georgia,Management,2454
Georgia,Service,1026
Georgia,Sales,839
Georgia,Farming,245
Georgia,Construction,3
Georgia,Production,745
Georgia,Military,0
Georgia,No,11842
Georgia,Homemakers,3126
Georgia,Students,6380
Georgia,Retirees,223
Georgia,Unemployed,2113
Georgia,Unknown,7550
Hawaii,Management,423
Hawaii,Service,322
Hawaii,Sales,307
Hawaii,Farming,0
Hawaii,Construction,0
Hawaii,Production,164
Hawaii,Military,0
Hawaii,No,3956
Hawaii,Homemakers,959
Hawaii,Students,2136
Hawaii,Retirees,28
Hawaii,Unemployed,833
Hawaii,Unknown,1386
Idaho,Management,147
Idaho,Service,141
Idaho,Sales,63
Idaho,Farming,44
Idaho,Construction,22
Idaho,Production,165
Idaho,Military,0
Idaho,No,1408
Idaho,Homemakers,411
Idaho,Students,759
Idaho,Retirees,33
Idaho,Unemployed,205
Idaho,Unknown,566
Illinois,Management,4194
Illinois,Service,1514
Illinois,Sales,1148
Illinois,Farming,613
Illinois,Construction,0
Illinois,Production,1744
Illinois,Military,0
Illinois,No,17406
Illinois,Homemakers,5796
Illinois,Students,8432
Illinois,Retirees,362
Illinois,Unemployed,2816
Illinois,Unknown,11141
Indiana,Management,938
Indiana,Service,291
Indiana,Sales,192
