State,Profession,Total
Delaware,Management,299
Delaware,Service,113
Delaware,Sales,78
Delaware,Farming,26
Delaware,Construction,22
Delaware,Production,40
Delaware,Military,0
Delaware,No,908
Delaware,Homemakers,236
Delaware,Students,517
Delaware,Retirees,20
Delaware,Unemployed,135
Delaware,Unknown,599
District of Columbia,Management,351
District of Columbia,Service,257
District of Columbia,Sales,150
District of Columbia,Farming,11
District of Columbia,Construction,16
District of Columbia,Production,66
District of Columbia,Military,0
District of Columbia,No,972
District of Columbia,Homemakers,175
District of Columbia,Students,634
District of Columbia,Retirees,22
District of Columbia,Unemployed,141
District of Columbia,Unknown,718
Florida,Management,9268
Florida,Service,6069
Florida,Sales,4732
Florida,Farming,964
Florida,Construction,0
Florida,Production,4964
Florida,Military,0
Florida,No,53276
Florida,Homemakers,12713
Florida,Students,31709
Florida,Retirees,889
Florida,Unemployed,7965
Florida,Unknown,45173
Georgia,Management,3453
Georgia,Service,1168
Georgia,Sales,1237
Georgia,Farming,262
Georgia,Construction,221
Georgia,Production,1299
Georgia,Military,0
Georgia,No,13085
Georgia,Homemakers,3537
Georgia,Students,7123
Georgia,Retirees,211
Georgia,Unemployed,2214
Georgia,Unknown,6619
Hawaii,Management,404
Hawaii,Service,258
Hawaii,Sales,268
Hawaii,Farming,0
Hawaii,Construction,0
Hawaii,Production,231
Hawaii,Military,0
Hawaii,No,3838
Hawaii,Homemakers,1069
Hawaii,Students,1969
Hawaii,Retirees,23
Hawaii,Unemployed,777
Hawaii,Unknown,1805
Idaho,Management,123
Idaho,Service,67
Idaho,Sales,42
Idaho,Farming,37
Idaho,Construction,10
Idaho,Production,110
Idaho,Military,0
Idaho,No,945
Idaho,Homemakers,283
Idaho,Students,567
Idaho,Retirees,15
Idaho,Unemployed,80
Idaho,Unknown,710
Illinois,Management,4986
Illinois,Service,1917
Illinois,Sales,1500
Illinois,Farming,829
Illinois,Construction,3
Illinois,Production,2046
Illinois,Military,0
Illinois,No,20503
Illinois,Homemakers,6663
Illinois,Students,10111
Illinois,Retirees,409
Illinois,Unemployed,3320
Illinois,Unknown,9798
Indiana,Management,857
Indiana,Service,239
Indiana,Sales,192
Indiana,Farming,96
Indiana,Construction,17
Indiana,Production,262
Indiana,Military,0
Indiana,No,3279
