State,Profession,Total
Delaware,Management,306
Delaware,Service,97
Delaware,Sales,56
Delaware,Farming,47
Delaware,Construction,10
Delaware,Production,57
Delaware,Military,0
Delaware,No,996
Delaware,Homemakers,243
Delaware,Students,587
Delaware,Retirees,27
Delaware,Unemployed,139
Delaware,Unknown,654
District of Columbia,Management,504
District of Columbia,Service,181
District of Columbia,Sales,93
District of Columbia,Farming,13
District of Columbia,Construction,12
District of Columbia,Production,58
District of Columbia,Military,0
District of Columbia,No,1024
District of Columbia,Homemakers,145
District of Columbia,Students,662
District of Columbia,Retirees,0
District of Columbia,Unemployed,70
District of Columbia,Unknown,959
Florida,Management,7814
Florida,Service,4323
Florida,Sales,2912
Florida,Farming,619
Florida,Construction,634
Florida,Production,3368
Florida,Military,6
Florida,No,47660
Florida,Homemakers,9653
Florida,Students,25529
Florida,Retirees,1023
Florida,Unemployed,11455
Florida,Unknown,32471
Georgia,Management,2851
Georgia,Service,972
Georgia,Sales,667
Georgia,Farming,223
Georgia,Construction,187
Georgia,Production,996
Georgia,Military,0
Georgia,No,10879
Georgia,Homemakers,2693
Georgia,Students,6129
Georgia,Retirees,233
Georgia,Unemployed,1824
Georgia,Unknown,6800
Hawaii,Management,387
Hawaii,Service,179
Hawaii,Sales,195
Hawaii,Farming,309
Hawaii,Construction,14
Hawaii,Production,127
Hawaii,Military,0
Hawaii,No,3103
Hawaii,Homemakers,737
Hawaii,Students,1622
Hawaii,Retirees,37
Hawaii,Unemployed,707
Hawaii,Unknown,1350
Idaho,Management,152
Idaho,Service,87
Idaho,Sales,32
Idaho,Farming,47
Idaho,Construction,22
Idaho,Production,139
Idaho,Military,0
Idaho,No,992
Idaho,Homemakers,286
Idaho,Students,553
Idaho,Retirees,12
Idaho,Unemployed,141
Idaho,Unknown,556
Illinois,Management,4838
Illinois,Service,1573
Illinois,Sales,938
Illinois,Farming,443
Illinois,Construction,294
Illinois,Production,1737
Illinois,Military,0
Illinois,No,15442
Illinois,Homemakers,4702
Illinois,Students,7935
Illinois,Retirees,369
Illinois,Unemployed,2436
Illinois,Unknown,8956
Indiana,Management,987
Indiana,Service,249
Indiana,Sales,163
Indiana,Farming,66
Indiana,Construction,23
Indiana,Production,378
Indiana,Military,0
Indiana,No,3463
Indiana,Homemakers,891
Indiana,Students,1999
Indiana,Retirees,57
Indiana,Unemployed,516
Indiana,Unknown,2077
Iowa,Management,456
Iowa,Service,174
Iowa,Sales,65
Iowa,Farming,62
Iowa,Construction,17
Iowa,Production,258
Iowa,Military,0
Iowa,No,1876
Iowa,Homemakers,516
Iowa,Students,1060
Iowa,Retirees,26
Iowa,Unemployed,274
Iowa,Unknown,1063
Kansas,Management,554
Kansas,Service,170
Kansas,Sales,112
Kansas,Farming,116
Kansas,Construction,27
Kansas,Production,339
Kansas,Military,0
Kansas,No,2181
Kansas,Homemakers,767
Kansas,Students,1078
Kansas,Retirees,45
Kansas,Unemployed,291
Kansas,Unknown,1335
Kentucky,Management,478
Kentucky,Service,209
Kentucky,Sales,101
Kentucky,Farming,50
Kentucky,Construction,30
Kentucky,Production,427
Kentucky,Military,0
Kentucky,No,2366
Kentucky,Homemakers,453
Kentucky,Students,1379
Kentucky,Retirees,43
Kentucky,Unemployed,491
Kentucky,Unknown,1350
Louisiana,Management,471
Louisiana,Service,178
Louisiana,Sales,110
Louisiana,Farming,51
Louisiana,Construction,34
Louisiana,Production,132
Louisiana,Military,0
Louisiana,No,2021
Louisiana,Homemakers,564
Louisiana,Students,1180
Louisiana,Retirees,21
Louisiana,Unemployed,256
Louisiana,Unknown,1180
Maine,Management,112
Maine,Service,57
Maine,Sales,38
Maine,Farming,6
Maine,Construction,3
Maine,Production,28
Maine,Military,0
Maine,No,578
Maine,Homemakers,73
Maine,Students,377
Maine,Retirees,12
Maine,Unemployed,116
Maine,Unknown,351
Maryland,Management,3512
Maryland,Service,1711
Maryland,Sales,913
Maryland,Farming,44
Maryland,Construction,292
Maryland,Production,945
Maryland,Military,0
Maryland,No,11223
Maryland,Homemakers,2105
Maryland,Students,6520
Maryland,Retirees,352
Maryland,Unemployed,2246
Maryland,Unknown,5476
Massachusetts,Management,3653
Massachusetts,Service,1499
Massachusetts,Sales,848
Massachusetts,Farming,263
Massachusetts,Construction,0
Massachusetts,Production,1026
Massachusetts,Military,0
Massachusetts,No,12545
Massachusetts,Homemakers,2438
Massachusetts,Students,7417
Massachusetts,Retirees,360
Massachusetts,Unemployed,2330
Massachusetts,Unknown,8135
Michigan,Management,2453
Michigan,Service,629
Michigan,Sales,333
Michigan,Farming,119
Michigan,Construction,0
Michigan,Production,619
Michigan,Military,0
Michigan,No,8541
Michigan,Homemakers,2318
Michigan,Students,4376
Michigan,Retirees,224
Michigan,Unemployed,1623
Michigan,Unknown,3412
Minnesota,Management,1479
Minnesota,Service,472
Minnesota,Sales,254
Minnesota,Farming,135
Minnesota,Construction,32
Minnesota,Production,363
Minnesota,Military,0
Minnesota,No,5794
Minnesota,Homemakers,842
Minnesota,Students,3834
Minnesota,Retirees,129
Minnesota,Unemployed,989
Minnesota,Unknown,3798
Mississippi,Management,163
Mississippi,Service,46
Mississippi,Sales,30
Mississippi,Farming,31
Mississippi,Construction,10
Mississippi,Production,70
Mississippi,Military,0
Mississippi,No,825
Mississippi,Homemakers,257
Mississippi,Students,432
Mississippi,Retirees,10
Mississippi,Unemployed,126
Mississippi,Unknown,465
Missouri,Management,863
Missouri,Service,270
Missouri,Sales,139
Missouri,Farming,0
Missouri,Construction,0
Missouri,Production,229
Missouri,Military,0
Missouri,No,2796
Missouri,Homemakers,683
Missouri,Students,1553
Missouri,Retirees,80
Missouri,Unemployed,480
Missouri,Unknown,1755
Alabama,Management,495
Alabama,Service,143
Alabama,Sales,105
Alabama,Farming,38
Alabama,Construction,31
Alabama,Production,138
Alabama,Military,0
Alabama,No,1800
Alabama,Homemakers,538
Alabama,Students,986
Alabama,Retirees,21
Alabama,Unemployed,255
Alabama,Unknown,979
Montana,Management,53
Montana,Service,11
Montana,Sales,0
Montana,Farming,4
Montana,Construction,0
Montana,Production,11
Montana,Military,0
Montana,No,207
Montana,Homemakers,43
Montana,Students,101
Montana,Retirees,8
Montana,Unemployed,55
Montana,Unknown,118
Nebraska,Management,356
Nebraska,Service,142
Nebraska,Sales,59
Nebraska,Farming,38
Nebraska,Construction,14
Nebraska,Production,285
Nebraska,Military,0
Nebraska,No,1839
Nebraska,Homemakers,493
Nebraska,Students,1133
Nebraska,Retirees,13
