State,Profession,Total
Delaware,Management,282
Delaware,Service,150
Delaware,Sales,86
Delaware,Farming,19
Delaware,Construction,10
Delaware,Production,52
Delaware,Military,0
Delaware,No,1056
Delaware,Homemakers,269
Delaware,Students,635
Delaware,Retirees,12
Delaware,Unemployed,140
Delaware,Unknown,529
District of Columbia,Management,444
District of Columbia,Service,214
District of Columbia,Sales,136
District of Columbia,Farming,0
District of Columbia,Construction,0
District of Columbia,Production,0
District of Columbia,Military,0
District of Columbia,No,1113
District of Columbia,Homemakers,0
District of Columbia,Students,668
District of Columbia,Retirees,0
District of Columbia,Unemployed,206
District of Columbia,Unknown,927
Florida,Management,8845
Florida,Service,6291
Florida,Sales,4243
Florida,Farming,0
Florida,Construction,0
Florida,Production,4948
Florida,Military,0
Florida,No,58639
Florida,Homemakers,14870
Florida,Students,29820
Florida,Retirees,968
Florida,Unemployed,12981
Florida,Unknown,41846
Georgia,Management,2682
Georgia,Service,1184
Georgia,Sales,965
Georgia,Farming,251
Georgia,Construction,197
Georgia,Production,885
Georgia,Military,0
Georgia,No,13457
Georgia,Homemakers,3639
Georgia,Students,7415
Georgia,Retirees,205
Georgia,Unemployed,2198
Georgia,Unknown,8775
Hawaii,Management,408
Hawaii,Service,301
Hawaii,Sales,292
Hawaii,Farming,376
Hawaii,Construction,0
Hawaii,Production,0
Hawaii,Military,0
Hawaii,No,3718
Hawaii,Homemakers,1053
Hawaii,Students,1852
Hawaii,Retirees,26
Hawaii,Unemployed,787
Hawaii,Unknown,1656
Idaho,Management,159
Idaho,Service,208
Idaho,Sales,87
Idaho,Farming,76
Idaho,Construction,34
Idaho,Production,187
Idaho,Military,0
Idaho,No,1797
Idaho,Homemakers,521
Idaho,Students,1005
Idaho,Retirees,36
Idaho,Unemployed,235
Idaho,Unknown,572
Illinois,Management,4194
Illinois,Service,1791
Illinois,Sales,1177
Illinois,Farming,648
Illinois,Construction,234
Illinois,Production,2004
Illinois,Military,0
Illinois,No,20250
Illinois,Homemakers,7015
Illinois,Students,9667
Illinois,Retirees,433
Illinois,Unemployed,3135
Illinois,Unknown,11591
Indiana,Management,876
Indiana,Service,315
Indiana,Sales,189
Indiana,Farming,0
Indiana,Construction,0
Indiana,Production,538
Indiana,Military,0
Indiana,No,4501
Indiana,Homemakers,1192
Indiana,Students,2681
Indiana,Retirees,64
Indiana,Unemployed,564
Indiana,Unknown,2554
Iowa,Management,355
Iowa,Service,164
Iowa,Sales,117
Iowa,Farming,57
Iowa,Construction,13
Iowa,Production,261
Iowa,Military,0
Iowa,No,1956
Iowa,Homemakers,569
Iowa,Students,1132
Iowa,Retirees,13
Iowa,Unemployed,242
Iowa,Unknown,1040
Kansas,Management,486
Kansas,Service,196
Kansas,Sales,176
Kansas,Farming,64
Kansas,Construction,42
Kansas,Production,380
Kansas,Military,0
Kansas,No,2657
Kansas,Homemakers,950
Kansas,Students,1379
Kansas,Retirees,38
Kansas,Unemployed,290
Kansas,Unknown,1318
Kentucky,Management,430
Kentucky,Service,216
Kentucky,Sales,122
Kentucky,Farming,0
Kentucky,Construction,0
Kentucky,Production,441
Kentucky,Military,0
Kentucky,No,2634
Kentucky,Homemakers,470
Kentucky,Students,1613
Kentucky,Retirees,28
Kentucky,Unemployed,523
Kentucky,Unknown,1340
Louisiana,Management,486
Louisiana,Service,269
Louisiana,Sales,180
Louisiana,Farming,48
Louisiana,Construction,91
Louisiana,Production,151
Louisiana,Military,0
Louisiana,No,2278
Louisiana,Homemakers,713
Louisiana,Students,1123
Louisiana,Retirees,23
Louisiana,Unemployed,419
Louisiana,Unknown,796
Maine,Management,111
Maine,Service,70
Maine,Sales,20
Maine,Farming,3
Maine,Construction,0
Maine,Production,25
Maine,Military,0
Maine,No,968
Maine,Homemakers,123
Maine,Students,700
Maine,Retirees,7
Maine,Unemployed,138
Maine,Unknown,470
Maryland,Management,3935
Maryland,Service,2272
Maryland,Sales,1443
Maryland,Farming,229
Maryland,Construction,423
Maryland,Production,998
Maryland,Military,3
Maryland,No,12897
Maryland,Homemakers,3017
Maryland,Students,7230
Maryland,Retirees,376
Maryland,Unemployed,2274
Maryland,Unknown,4522
Massachusetts,Management,3727
Massachusetts,Service,2331
Massachusetts,Sales,1145
Massachusetts,Farming,371
Massachusetts,Construction,6
Massachusetts,Production,1137
Massachusetts,Military,0
Massachusetts,No,15798
Massachusetts,Homemakers,3247
Massachusetts,Students,9010
Massachusetts,Retirees,384
Massachusetts,Unemployed,3157
Massachusetts,Unknown,7827
Michigan,Management,2384
Michigan,Service,868
Michigan,Sales,550
Michigan,Farming,191
Michigan,Construction,56
Michigan,Production,686
Michigan,Military,0
Michigan,No,10346
Michigan,Homemakers,2893
Michigan,Students,5596
Michigan,Retirees,195
Michigan,Unemployed,1662
Michigan,Unknown,3835
Minnesota,Management,1284
Minnesota,Service,841
Minnesota,Sales,502
Minnesota,Farming,0
Minnesota,Construction,0
Minnesota,Production,751
Minnesota,Military,0
Minnesota,No,9038
Minnesota,Homemakers,1110
Minnesota,Students,6264
Minnesota,Retirees,189
Minnesota,Unemployed,1475
Minnesota,Unknown,5404
Mississippi,Management,187
Mississippi,Service,74
Mississippi,Sales,47
Mississippi,Farming,0
Mississippi,Construction,0
Mississippi,Production,82
Mississippi,Military,0
Mississippi,No,886
Mississippi,Homemakers,295
Mississippi,Students,413
Mississippi,Retirees,14
Mississippi,Unemployed,164
Mississippi,Unknown,308
Missouri,Management,808
Missouri,Service,412
Missouri,Sales,223
Missouri,Farming,68
Missouri,Construction,0
Missouri,Production,309
Missouri,Military,0
Missouri,No,3515
Missouri,Homemakers,891
Missouri,Students,1990
Missouri,Retirees,74
Missouri,Unemployed,560
Missouri,Unknown,1778
Alabama,Management,428
Alabama,Service,161
Alabama,Sales,87
Alabama,Farming,0
Alabama,Construction,0
Alabama,Production,110
Alabama,Military,0
Alabama,No,1889
Alabama,Homemakers,570
Alabama,Students,975
Alabama,Retirees,27
